Unnamed: 0,typeid_x,afstemningid,aktørid,party,dato
626518,1,5979,1431,Dansk Folkeparti,2004-11-23 12:00:00
626519,2,5979,679,Socialdemokratiet,2004-11-23 12:00:00
626520,1,5979,1811,Venstre,2004-11-23 12:00:00
626521,2,5979,28,Socialdemokratiet,2004-11-23 12:00:00
626522,1,5979,1817,Venstre,2004-11-23 12:00:00
626523,1,5979,657,Venstre,2004-11-23 12:00:00
626524,1,5979,1771,Dansk Folkeparti,2004-11-23 12:00:00
626525,1,5979,1814,Venstre,2004-11-23 12:00:00
626526,2,5979,257,Socialdemokratiet,2004-11-23 12:00:00
626527,2,5979,5593,,2004-11-23 12:00:00
626528,2,5979,1444,Socialistisk Folkeparti,2004-11-23 12:00:00
626529,2,5979,1234,Socialistisk Folkeparti,2004-11-23 12:00:00
626530,1,5979,364,Venstre,2004-11-23 12:00:00
626531,1,5979,1461,Venstre,2004-11-23 12:00:00
626532,2,5979,678,Socialdemokratiet,2004-11-23 12:00:00
626533,2,5979,920,Socialdemokratiet,2004-11-23 12:00:00
626534,1,5979,1759,Det Konservative Folkeparti,2004-11-23 12:00:00
626535,1,5979,1792,Venstre,2004-11-23 12:00:00
626536,2,5979,1773,Socialdemokratiet,2004-11-23 12:00:00
626537,2,5979,669,Socialdemokratiet,2004-11-23 12:00:00
626538,2,5979,652,Socialdemokratiet,2004-11-23 12:00:00
626539,1,5979,1850,Det Konservative Folkeparti,2004-11-23 12:00:00
626540,1,5979,217,Venstre,2004-11-23 12:00:00
626541,1,5979,1831,Dansk Folkeparti,2004-11-23 12:00:00
626542,1,5979,645,Venstre,2004-11-23 12:00:00
626543,2,5979,1880,Socialdemokratiet,2004-11-23 12:00:00
626544,2,5979,1879,Socialdemokratiet,2004-11-23 12:00:00
626545,1,5979,245,Liberal Alliance,2004-11-23 12:00:00
626546,1,5979,1760,Venstre,2004-11-23 12:00:00
626547,2,5979,1770,Socialdemokratiet,2004-11-23 12:00:00
626548,1,5979,665,Det Konservative Folkeparti,2004-11-23 12:00:00
626549,2,5979,1023,Socialdemokratiet,2004-11-23 12:00:00
626550,1,5979,1730,Radikale Venstre,2004-11-23 12:00:00
626551,2,5979,33,Socialistisk Folkeparti,2004-11-23 12:00:00
626552,1,5979,193,Venstre,2004-11-23 12:00:00
626553,1,5979,662,Dansk Folkeparti,2004-11-23 12:00:00
626554,2,5979,666,Socialdemokratiet,2004-11-23 12:00:00
626555,2,5979,1219,Kristendemokraterne,2004-11-23 12:00:00
626556,2,5979,1804,Socialdemokratiet,2004-11-23 12:00:00
626557,1,5979,918,Sambandsflokkurin,2004-11-23 12:00:00
626558,1,5979,671,Radikale Venstre,2004-11-23 12:00:00
626559,1,5979,206,Venstre,2004-11-23 12:00:00
626560,1,5979,725,Venstre,2004-11-23 12:00:00
626561,2,5979,1353,Socialdemokratiet,2004-11-23 12:00:00
626562,2,5979,1768,Socialdemokratiet,2004-11-23 12:00:00
626563,2,5979,1280,Socialdemokratiet,2004-11-23 12:00:00
626564,1,5979,1299,Det Konservative Folkeparti,2004-11-23 12:00:00
626565,1,5979,48,Danmarksdemokraterne,2004-11-23 12:00:00
626566,2,5979,226,Socialdemokratiet,2004-11-23 12:00:00
626567,1,5979,182,Danmarksdemokraterne,2004-11-23 12:00:00
626568,2,5979,176,Enhedslisten,2004-11-23 12:00:00
626569,1,5979,1761,Det Konservative Folkeparti,2004-11-23 12:00:00
626570,1,5979,1740,Dansk Folkeparti,2004-11-23 12:00:00
626571,2,5979,1767,Socialdemokratiet,2004-11-23 12:00:00
626572,2,5979,1094,Socialdemokratiet,2004-11-23 12:00:00
626573,2,5979,1250,Socialdemokratiet,2004-11-23 12:00:00
626574,1,5979,296,Venstre,2004-11-23 12:00:00
626575,2,5979,1822,Socialdemokratiet,2004-11-23 12:00:00
626576,1,5979,212,Venstre,2004-11-23 12:00:00
626577,1,5979,1749,Venstre,2004-11-23 12:00:00
626578,2,5979,1558,Kristeligt Folkeparti,2004-11-23 12:00:00
626579,1,5979,1916,Det Konservative Folkeparti,2004-11-23 12:00:00
626580,2,5980,1039,Socialdemokratiet,2004-11-25 10:00:00
626581,2,5980,220,Socialdemokratiet,2004-11-25 10:00:00
626582,1,5980,183,Danmarksdemokraterne,2004-11-25 10:00:00
626583,2,5980,198,Socialistisk Folkeparti,2004-11-25 10:00:00
626584,1,5980,648,Det Konservative Folkeparti,2004-11-25 10:00:00
626585,2,5980,1325,Socialdemokratiet,2004-11-25 10:00:00
626586,1,5980,94,Venstre,2004-11-25 10:00:00
626587,1,5980,664,Uden for folketingsgrupperne,2004-11-25 10:00:00
626588,1,5980,1885,Venstre,2004-11-25 10:00:00
626589,1,5980,1371,Dansk Folkeparti,2004-11-25 10:00:00
626590,1,5980,1790,Venstre,2004-11-25 10:00:00
626591,1,5980,216,Dansk Folkeparti,2004-11-25 10:00:00
626592,1,5980,211,Dansk Folkeparti,2004-11-25 10:00:00
626593,1,5980,108,Det Konservative Folkeparti,2004-11-25 10:00:00
626594,1,5980,131,Det Konservative Folkeparti,2004-11-25 10:00:00
626595,1,5980,1746,Venstre,2004-11-25 10:00:00
626596,1,5980,1433,Dansk Folkeparti,2004-11-25 10:00:00
626597,2,5980,1623,,2004-11-25 10:00:00
626598,1,5980,1047,Uden for folketingsgrupperne,2004-11-25 10:00:00
626599,1,5980,1845,Venstre,2004-11-25 10:00:00
626600,2,5980,794,Socialistisk Folkeparti,2004-11-25 10:00:00
626601,2,5980,1256,Socialdemokratiet,2004-11-25 10:00:00
626602,1,5980,1821,Venstre,2004-11-25 10:00:00
626603,1,5980,1755,Dansk Folkeparti,2004-11-25 10:00:00
626604,2,5980,1455,Socialdemokratiet,2004-11-25 10:00:00
626605,2,5980,1463,Socialdemokratiet,2004-11-25 10:00:00
626606,2,5980,1751,Socialdemokratiet,2004-11-25 10:00:00
626607,1,5980,350,Venstre,2004-11-25 10:00:00
626608,1,5980,149,Det Konservative Folkeparti,2004-11-25 10:00:00
626609,1,5980,647,Venstre,2004-11-25 10:00:00
626610,2,5980,258,Socialdemokratiet,2004-11-25 10:00:00
626611,1,5980,126,Venstre,2004-11-25 10:00:00
626612,1,5980,164,Venstre,2004-11-25 10:00:00
