session,ID,party,name,coord1D,coord2D,se1D,se2D,var1D,var2D,loglikelihood,numVotes,numErrors,GMP,numeric_id,original_id
2,Legislator 57,1,Legislator 57,-0.635630548000336,0.235632956027985,0,0,0,0,-18.957986831665,806,7,0.976753413677216,2,14854
2,Legislator 58,1,Legislator 58,0.483107566833496,-0.0475509129464626,0,0,0,0,-97.6763763427734,798,39,0.884793102741241,2,14854
2,Legislator 59,1,Legislator 59,0.541008770465851,-0.380241900682449,0,0,0,0,-103.026542663574,804,44,0.879728019237518,2,14854
2,Legislator 60,1,Legislator 60,-0.69203770160675,0.643564760684967,0,0,0,0,-25.4913177490234,803,7,0.968753457069397,2,14854
2,Legislator 61,1,Legislator 61,0.649909436702728,0.40404400229454,0,0,0,0,-91.4553909301758,794,37,0.891202926635742,2,14854
2,Legislator 62,1,Legislator 62,-0.574092328548431,0.406406551599503,0,0,0,0,-29.297233581543,793,9,0.963729321956635,2,14854
2,Legislator 63,1,Legislator 63,-0.547538697719574,-0.105083294212818,0,0,0,0,-21.5177536010742,796,4,0.973329722881317,2,14854
2,Legislator 64,1,Legislator 64,-0.649459183216095,0.348988920450211,0,0,0,0,-23.0109786987305,785,10,0.971112132072449,2,14854
2,Legislator 65,1,Legislator 65,0.499479025602341,-0.180300861597061,0,0,0,0,-70.048713684082,808,19,0.916957676410675,2,14854
2,Legislator 66,1,Legislator 66,0.497770577669144,-0.0097324047237634,0,0,0,0,-111.469421386719,804,42,0.870538294315338,2,14854
2,Legislator 67,1,Legislator 67,-0.646209239959717,0.0277255736291409,0,0,0,0,-38.2913589477539,804,10,0.953490257263184,2,14854
2,Legislator 68,1,Legislator 68,0.448861628770828,-0.116036847233772,0,0,0,0,-133.607788085938,780,53,0.842575490474701,2,14854
2,Legislator 69,1,Legislator 69,0.533850073814392,-0.244249418377876,0,0,0,0,-87.4753036499023,799,36,0.896299183368683,2,14854
2,Legislator 70,1,Legislator 70,-0.680599629878998,0.0012654066085815,0,0,0,0,-36.698860168457,771,8,0.953516006469727,2,14854
2,Legislator 71,1,Legislator 71,0.603698074817657,0.487466782331467,0,0,0,0,-178.330642700195,789,80,0.797701299190521,2,14854
2,Legislator 72,1,Legislator 72,-0.497512102127075,-0.0330812186002731,0,0,0,0,-37.4455680847168,797,15,0.954103469848633,2,14854
2,Legislator 73,1,Legislator 73,0.538009822368622,0.412072539329529,0,0,0,0,-183.025115966797,793,85,0.79389750957489,2,14854
2,Legislator 74,1,Legislator 74,0.469462126493454,-0.315021485090256,0,0,0,0,-73.3523406982422,800,27,0.912387549877167,2,14854
2,Legislator 75,1,Legislator 75,-0.667278826236725,0.124115273356438,0,0,0,0,-19.576343536377,798,7,0.975766718387604,2,14854
2,Legislator 76,1,Legislator 76,0.474529057741165,-0.399082183837891,0,0,0,0,-98.4509429931641,799,45,0.884071171283722,2,14854
2,Legislator 77,1,Legislator 77,-0.597676694393158,0.0544749349355698,0,0,0,0,-21.6191596984863,787,10,0.972903549671173,2,14854
2,Legislator 78,1,Legislator 78,-0.626312434673309,0.284297943115234,0,0,0,0,-19.5948619842529,792,8,0.975562572479248,2,14854
2,Legislator 79,1,Legislator 79,-0.644910335540771,0.276647478342056,0,0,0,0,-39.4085121154785,742,18,0.948274552822113,2,14854
2,Legislator 80,1,Legislator 80,-0.248115748167038,0.533592522144318,0,0,0,0,-113.621032714844,791,45,0.86619758605957,2,14854
2,Legislator 81,1,Legislator 81,0.400688678026199,-0.207059741020203,0,0,0,0,-97.8528060913086,788,42,0.883221983909607,2,14854
